vintage,country,from_currency,to_currency,year,rate_multiplier
Q4 2023,,US Dollar,Euro,1970,1.142032926
Q4 2023,,US Dollar,Euro,1971,1.105245694
Q4 2023,,US Dollar,Euro,1972,1.015763205
Q4 2023,,US Dollar,Euro,1973,0.876952332
Q4 2023,,US Dollar,Euro,1974,0.874296635
Q4 2023,,US Dollar,Euro,1975,0.824960597
Q4 2023,,US Dollar,Euro,1976,0.879790898
Q4 2023,,US Dollar,Euro,1977,0.849019019
Q4 2023,,US Dollar,Euro,1978,0.76152983
Q4 2023,,US Dollar,Euro,1979,0.705751024
Q4 2023,,US Dollar,Euro,1980,0.704720775
Q4 2023,,US Dollar,Euro,1981,0.889883221
Q4 2023,,US Dollar,Euro,1982,1.004622877
Q4 2023,,US Dollar,Euro,1983,1.113121385
Q4 2023,,US Dollar,Euro,1984,1.258270539
Q4 2023,,US Dollar,Euro,1985,1.310960073
Q4 2023,,US Dollar,Euro,1986,0.998383365
Q4 2023,,US Dollar,Euro,1987,0.848395062
Q4 2023,,US Dollar,Euro,1988,0.833426209
Q4 2023,,US Dollar,Euro,1989,0.887111817
Q4 2023,,US Dollar,Euro,1990,0.764618447
Q4 2023,,US Dollar,Euro,1991,0.788424061
Q4 2023,,US Dollar,Euro,1992,0.752802582
Q4 2023,,US Dollar,Euro,1993,0.836630561
Q4 2023,,US Dollar,Euro,1994,0.830561825
Q4 2023,,US Dollar,Euro,1995,0.756786835
Q4 2023,,US Dollar,Euro,1996,0.774385456
Q4 2023,,US Dollar,Euro,1997,0.88321347
Q4 2023,,US Dollar,Euro,1998,0.898779138
Q4 2023,,US Dollar,Euro,1999,0.938283072
Q4 2023,,US Dollar,Euro,2000,1.082705081
Q4 2023,,US Dollar,Euro,2001,1.116533086
Q4 2023,,US Dollar,Euro,2002,1.057558996
Q4 2023,,US Dollar,Euro,2003,0.884047927
Q4 2023,,US Dollar,Euro,2004,0.803921648
Q4 2023,,US Dollar,Euro,2005,0.803800192
Q4 2023,,US Dollar,Euro,2006,0.796432731
Q4 2023,,US Dollar,Euro,2007,0.7296724
Q4 2023,,US Dollar,Euro,2008,0.67992268
Q4 2023,,US Dollar,Euro,2009,0.716957702
Q4 2023,,US Dollar,Euro,2010,0.75430899
Q4 2023,,US Dollar,Euro,2011,0.718413899
Q4 2023,,US Dollar,Euro,2012,0.77833812
Q4 2023,,US Dollar,Euro,2013,0.752945123
Q4 2023,,US Dollar,Euro,2014,0.752728197
Q4 2023,,US Dollar,Euro,2015,0.901296423
Q4 2023,,US Dollar,Euro,2016,0.903421436
Q4 2023,,US Dollar,Euro,2017,0.885205508
Q4 2023,,US Dollar,Euro,2018,0.846772667
Q4 2023,,US Dollar,Euro,2019,0.893276257
Q4 2023,,US Dollar,Euro,2020,0.875506397
Q4 2023,,US Dollar,Euro,2021,0.845494139
Q4 2023,,US Dollar,Euro,2022,0.949623753
Q4 2023,,US Dollar,Euro,2023,0.924104701
Q4 2023,,US Dollar,Euro,2024,0.920513045
Q4 2023,,US Dollar,Euro,2025,0.869565217
Q4 2023,,US Dollar,Euro,2026,0.833333333
Q4 2023,,US Dollar,Euro,2027,0.803303714
Q4 2023,,US Dollar,Euro,2028,0.803303714
Q4 2023,,US Dollar,Euro,2029,0.803303714
Q4 2023,,US Dollar,Euro,2030,0.803303714
Q4 2023,,US Dollar,Euro,2031,0.803303714
Q4 2023,,US Dollar,Euro,2032,0.803303714
Q4 2023,,US Dollar,Euro,2033,0.803303714
Q4 2023,,US Dollar,Euro,2034,0.803303714
Q4 2023,,US Dollar,Euro,2035,0.803303714
Q4 2023,,US Dollar,Euro,2036,0.803303714
Q4 2023,,US Dollar,Euro,2037,0.803303714
Q4 2023,,US Dollar,Euro,2038,0.803303714
Q4 2023,,US Dollar,Euro,2039,0.803303714
Q4 2023,,US Dollar,Euro,2040,0.803303714
Q4 2023,,US Dollar,Euro,2041,0.803303714
Q4 2023,,US Dollar,Euro,2042,0.803303714
Q4 2023,,US Dollar,Euro,2043,0.803303714
Q4 2023,,US Dollar,Euro,2044,0.803303714
Q4 2023,,US Dollar,Euro,2045,0.803303714
Q4 2023,,US Dollar,Euro,2046,0.803303714
Q4 2023,,US Dollar,Euro,2047,0.803303714
Q4 2023,,US Dollar,Euro,2048,0.803303714
Q4 2023,,US Dollar,Euro,2049,0.803303714
Q4 2023,,US Dollar,Euro,2050,0.803303714
Q4 2023,,US Dollar,Euro,2051,0.803303714
Q4 2023,,US Dollar,Euro,2052,0.803303714
Q4 2023,,US Dollar,Euro,2053,0.803303714
Q4 2023,,US Dollar,Euro,2054,0.803303714
Q4 2023,,US Dollar,Euro,2055,0.803303714
Q4 2023,,US Dollar,Euro,2056,0.803303714
Q4 2023,,US Dollar,Euro,2057,0.803303714
Q4 2023,,US Dollar,Euro,2058,0.803303714
Q4 2023,,US Dollar,Euro,2059,0.803303714
Q4 2023,,US Dollar,Euro,2060,0.803303714
Q4 2023,,US Dollar,Euro,2061,0.803303714
Q4 2023,,US Dollar,Euro,2062,0.803303714
Q4 2023,,US Dollar,Euro,2063,0.803303714
Q4 2023,,US Dollar,Euro,2064,0.803303714
Q4 2023,,US Dollar,Euro,2065,0.803303714
